Mode,title,task,tgt,Embedded link
ED,057-SEN-01,audio,036-SEN-08,https://drive.google.com/file/d/1TshY83tE5fZBZWBTF8v-elnNj_RaSAxr/preview
ED,057-SEN-01,audio,037-SEN-03,https://drive.google.com/file/d/1cCAvh5rqRZf52zYRrO1vyP_mRTa1r-qB/preview
ED,036-SEN-08,audio,057-SEN-01,https://drive.google.com/file/d/1X4D_oBDc8_-xX_uhVIpMUIj4TDcnyzFT/preview
ED,036-SEN-08,audio,037-SEN-03,https://drive.google.com/file/d/1hRbLJ1CHLWNjtSkgQFYFI3g_m8Tr2EF8/preview
ED,100-SEN-03,audio,057-SEN-01,https://drive.google.com/file/d/13cOFzGg-sa6eq8BcC0FubGMFjze2Gv4s/preview
ED,100-SEN-03,audio,037-SEN-03,https://drive.google.com/file/d/1UvbtAS6cv9FguoceI9mID3s0C6RuPxzo/preview
ED,037-SEN-03,audio,145-SEN-08,https://drive.google.com/file/d/1_3okKS2BZriTvpHLzPgnK2PK7mscXAGL/preview
ED,037-SEN-03,audio,057-SEN-01,https://drive.google.com/file/d/14V2w7leM2BApCSkye8-68pp4thF_YSje/preview
EC,100-SEN-03,audio,057-SEN-01,https://drive.google.com/file/d/1Ec-c0bp2jFWcyQxIsWpCuXVzzZLK8phe/preview
DE,W014_fea_1_006,audio,W011_fea_1_005,https://drive.google.com/file/d/1-QFZ17NX6tKrx-hofvvTJ-hjypga68H8/preview
DE,W014_fea_1_006,audio,M003_ang_1_001,https://drive.google.com/file/d/1Kxo1d5lRNtmoqQ3XGc56iiiGFPw3WOyj/preview
DE,M009_sur_1_004,audio,W014_hap_1_006,https://drive.google.com/file/d/1cf7tvo6C55KrhhQUQOon1Z_CxiWrLkhe/preview
DE,M009_sur_1_004,audio,M003_ang_1_001,https://drive.google.com/file/d/1XUKJlqZuJDzsuU3YZ1AEHm2QdAzplpzL/preview
DE,M003_con_1_001,audio,W011_fea_1_005,https://drive.google.com/file/d/1Twr791VJC1WInz8c4f2Li8SmUWHy8f2P/preview
DE,M003_con_1_001,audio,M009_sad_1_004,https://drive.google.com/file/d/1acZgMKBSM4KENvpIKc7R4_IuSOhQl7vm/preview
DE,W011_hap_1_005,audio,W014_hap_1_006,https://drive.google.com/file/d/1SpwTq4ULH-NN5wMkYWqlpQUKj264TotY/preview
DE,W011_hap_1_005,audio,W011_fea_1_005,https://drive.google.com/file/d/1x0bHk8upUEP1-kF2L3uzN4J75lt4UZrw/preview
EC,100-SEN-03,audio,036-SEN-08,https://drive.google.com/file/d/1_RWyN6gP_oFwnty3Y_F-OosAKS5AXERs/preview
EC,057-SEN-01,audio,037-SEN-03,https://drive.google.com/file/d/1GqAcBudDBEO26ys3T0lMRNWkzdUZaxBh/preview
EC,057-SEN-01,audio,036-SEN-08,https://drive.google.com/file/d/1EERmLtLexxG0vVVX9WmmUD8l6a-fmeDk/preview
EC,037-SEN-03,audio,145-SEN-08,https://drive.google.com/file/d/15lB2EVTqPnsF4Qz_XzSp-mmX3ETYkDQk/preview
EC,037-SEN-03,audio,057-SEN-01,https://drive.google.com/file/d/16uzBQMS-6qbbhYdrE5cFH2AkIoRK0PuT/preview
EC,036-SEN-08,audio,057-SEN-01,https://drive.google.com/file/d/1UAWnfb_tayW0hTzF8ybIgQYc0yiHZtZS/preview
EC,036-SEN-08,audio,037-SEN-03,https://drive.google.com/file/d/12dElBEP5N0rXje4UvvByUWRiRhykJDUt/preview
CE,M009_fea_1_004,audio,W014_hap_1_006,https://drive.google.com/file/d/1oszpJVZxZ5WL0LcEmi-UzP8VzcRr4Dgk/preview
CE,M009_fea_1_004,audio,W011_fea_1_005,https://drive.google.com/file/d/1nbmtM-Vr2d06D6QmujwL10g1-gTnddXg/preview
CE,M003_con_1_001,audio,W011_fea_1_005,https://drive.google.com/file/d/1FJLrGLkMCOlJfaYsCdZU0o2GuYy2jTZ8/preview
CE,M003_con_1_001,audio,M009_sad_1_004,https://drive.google.com/file/d/1gCJnqNgjITjXqwu8DTsqQFCLx62furvy/preview
CE,W011_sad_1_005,audio,W014_hap_1_006,https://drive.google.com/file/d/1gfdEkAiK2n8BKZeaaZwYizijsozIWt7H/preview
CE,W011_sad_1_005,audio,M003_ang_1_001,https://drive.google.com/file/d/1irunLkmmZQDMuAoFxGUpvNGmhpxIqqW1/preview
CE,W014_fea_1_006,audio,W011_fea_1_005,https://drive.google.com/file/d/1NX2GvsTdTxjYPNVwr07FmHkmdWZefr87/preview
CE,W014_fea_1_006,audio,M003_ang_1_001,https://drive.google.com/file/d/17Yq_0ycy_5Y7ncdysnmIG9CrIrCLYpZh/preview
EB,100-SEN-03,audio,057-SEN-01,https://drive.google.com/file/d/1u8rYJ5VNTWyVt4M_QXX7oF5s_xXhiTZD/preview
EB,100-SEN-03,audio,036-SEN-08,https://drive.google.com/file/d/10xYyjhSj8XXYePcwC1lDNpWXHgh6DB_r/preview
EB,057-SEN-01,audio,037-SEN-03,https://drive.google.com/file/d/1iWwjPt9SwkOb0gHwqW2vsFqjkJVO5_ed/preview
EB,057-SEN-01,audio,036-SEN-08,https://drive.google.com/file/d/1jb1FY4B4SyxwjxCGb0N7bsPBXHSYhA4h/preview
EB,036-SEN-08,audio,057-SEN-01,https://drive.google.com/file/d/1rzaq2S1LvnwraY5E6A6FjfBGanZT5OIH/preview
EB,036-SEN-08,audio,037-SEN-03,https://drive.google.com/file/d/11I6Locrd3q9_TvUssaCoNejCASVrHGQf/preview
EB,037-SEN-03,audio,145-SEN-08,https://drive.google.com/file/d/1xFkkx9kAIb3NDLZqOT2z4FjCHF5Zcz5g/preview
EB,037-SEN-03,audio,057-SEN-01,https://drive.google.com/file/d/1StqVZNQozvzu5_5VU8iw9_Nlbxtxr6ae/preview
AE,M009_sur_1_004,audio,W014_hap_1_006,https://drive.google.com/file/d/1nK_vTtFp1pp4HQmuFtkb8T5Wd7tQqNKU/preview
AE,M009_sur_1_004,audio,M003_ang_1_001,https://drive.google.com/file/d/1JD8Ajk7H0AEt4vD6qQR3QQEjBs93XsGY/preview
AE,W014_fea_1_006,audio,M003_ang_1_001,https://drive.google.com/file/d/1xykCmOoit0ZfZ2g6uPQYDMCatH42yyCT/preview
AE,W014_fea_1_006,audio,W011_fea_1_005,https://drive.google.com/file/d/1Yb_-PH-I3cpGPiLgQH6Uh-JF4CLrzz8y/preview
AE,W011_hap_1_005,audio,W014_hap_1_006,https://drive.google.com/file/d/1EOPwUcrGznLVlI1k7Z8ePSzdXcCWx4KC/preview
AE,W011_hap_1_005,audio,W011_fea_1_005,https://drive.google.com/file/d/1jpmJ6DYO1hHlQqIXVnXQGw0PUzXzMIzL/preview
AE,M003_con_1_001,audio,W014_hap_1_006,https://drive.google.com/file/d/1YsRU0Klj4By5BwuUKAqhSW9awh-VZZQO/preview
AE,M003_con_1_001,audio,W011_fea_1_005,https://drive.google.com/file/d/1PNR0q6SA1fXDWwGZRnD-rqsz5bFkoJY-/preview
AE,036-SEN-08,audio,037-SEN-03,https://drive.google.com/file/d/1UkRdRaVEAsIivei9NZ1n_R37HFZL_5z5/preview
AE,036-SEN-08,audio,057-SEN-01,https://drive.google.com/file/d/1CuI9mKgYITAERK6-AYucy4wDibkpPi_1/preview
AE,100-SEN-03,audio,057-SEN-01,https://drive.google.com/file/d/106QtsRsQqD7EVp6Augn2mIwvdekoj4f1/preview
AE,100-SEN-03,audio,036-SEN-08,https://drive.google.com/file/d/1a9GldeRKVzv1n1a-KDwswGplBMHAToFM/preview
AE,037-SEN-03,audio,145-SEN-08,https://drive.google.com/file/d/1QZZhokNFBqlrUpJgja5YeTAmbjlFVv5G/preview
AE,037-SEN-03,audio,057-SEN-01,https://drive.google.com/file/d/1UyQ7Sbn_XC6cIvZzXwBnye0n0lm1CH25/preview
AE,057-SEN-01,audio,037-SEN-03,https://drive.google.com/file/d/1-zWVtNZBgHehVu2OrqvEGtWuhdJ94Mxs/preview
AE,057-SEN-01,audio,036-SEN-08,https://drive.google.com/file/d/1aqdjpS_U59jPcEzTUZ5oL53CAG0bMISF/preview
BE,W014_fea_1_006,audio,M003_ang_1_001,https://drive.google.com/file/d/1wyrjOQnvEGcIUSiFkgYaqSx73IejZDeD/preview
BE,W014_fea_1_006,audio,W011_fea_1_005,https://drive.google.com/file/d/1DuCOSdGgV-3S-_i7ZrgiRe_QllCM2NJm/preview
BE,W011_hap_1_005,audio,W014_hap_1_006,https://drive.google.com/file/d/1pC6QnJ5TVi4TgjIAS7BqONwYw50Kha-a/preview
BE,W011_hap_1_005,audio,W011_fea_1_005,https://drive.google.com/file/d/1oGgYMPLErQBXrkTO4uTjlybGKGiOcDXT/preview
BE,M009_sur_1_004,audio,W014_hap_1_006,https://drive.google.com/file/d/1ydKeUpvjfbSwvMTKYBbEe1N_96WEhYJA/preview
BE,M009_sur_1_004,audio,M003_ang_1_001,https://drive.google.com/file/d/1a0iZqkRypdvxJk5KXdPJ0F3AHAJFOkc5/preview
BE,M003_con_1_001,audio,W011_fea_1_005,https://drive.google.com/file/d/1NW4TPn_e9Ppgi_apclnAodEuNtoPNkpe/preview
BE,M003_con_1_001,audio,M009_sad_1_004,https://drive.google.com/file/d/1BgYaWmmBw1Yivj8Kg0AQ4S9_mfyBfyMs/preview
