Mode,title,task,tgt,Embedded link
CE,W011_hap_1_005,reenact,W014_neu_1_006,https://drive.google.com/file/d/1_5yfZLB-B6NHjwFwqnTYeh4nzJdOSwn6/preview
CE,W011_hap_1_005,reenact,M009_neu_1_004,https://drive.google.com/file/d/1macVbypUiuMe5GHkTwf7EWQzHYKBO4p-/preview
CE,W014_con_1_006,reenact,M009_neu_1_004,https://drive.google.com/file/d/17mmUALMK7xrYnEowk50ZTRFmwlETp5rG/preview
CE,W014_con_1_006,reenact,W011_neu_1_005,https://drive.google.com/file/d/1evulYkO4hWXf_ZaTRCm4m9y0Qp6258Bd/preview
CE,M009_fea_1_004,reenact,W014_neu_1_006,https://drive.google.com/file/d/13sFVy7ZjZtZAgMowKdRHE_fp6_Fr40w-/preview
CE,M009_fea_1_004,reenact,M003_neu_1_001,https://drive.google.com/file/d/1pYBFB4wnuUVAdFiNW07im-50j3mnnMLA/preview
CE,M003_ang_1_001,reenact,W014_neu_1_006,https://drive.google.com/file/d/1Vz9rlVt3pSVvP_MbkcDIRIlnCCC5_b_Z/preview
CE,M003_ang_1_001,reenact,M009_neu_1_004,https://drive.google.com/file/d/1h_zCNec2rnqMQ7CqzxM5vjT3RpvxnzHm/preview
AE,100-SEN-03,reenact,057-SEN-01,https://drive.google.com/file/d/1hl0eehZuB7WTkKB7wpkdf7e-Sn8EzU_n/preview
AE,100-SEN-03,reenact,037-SEN-03,https://drive.google.com/file/d/1qg9Yupqa4FNDG03nSzkZOvfVcm-sQOg3/preview
AE,057-SEN-01,reenact,100-SEN-03,https://drive.google.com/file/d/1qZkmIRWbAnYV7OxE258k3JAOPxBH4ibz/preview
AE,057-SEN-01,reenact,036-SEN-08,https://drive.google.com/file/d/1fRtGHpKuXWFjeuBGxKsM03xIECTod-4a/preview
AE,036-SEN-08,reenact,100-SEN-03,https://drive.google.com/file/d/1Q8PWoA08YbNYmdKcpgV82JYNz9CQZlAr/preview
AE,036-SEN-08,reenact,037-SEN-03,https://drive.google.com/file/d/1r5TwVMdZp5RQjplcp3AL7GfoRq0xzrJ2/preview
AE,037-SEN-03,reenact,057-SEN-01,https://drive.google.com/file/d/1H9HwQHbjOQqRdkSteWT0C2QGX6Oh8EQV/preview
AE,037-SEN-03,reenact,036-SEN-08,https://drive.google.com/file/d/1EwqJW8Z2rYliJMEWYP0OoBudXks3DdJW/preview
ED,W014_con_1_006,reenact,W011_neu_1_005,https://drive.google.com/file/d/1-3qBKc-uaKy0UyVHNpLApwVGEK2n-1yS/preview
ED,W014_con_1_006,reenact,M009_neu_1_004,https://drive.google.com/file/d/1ZnIi6IxJOgZPhiF7XCIluZ0B7WXP0xsF/preview
ED,M003_ang_1_001,reenact,W014_neu_1_006,https://drive.google.com/file/d/1qlry5nYrpxgj_-eTxvdVJj09o1VEkPQo/preview
ED,M003_ang_1_001,reenact,M009_neu_1_004,https://drive.google.com/file/d/1Lh7Uq3Q4ZwGv3jZiQMCwgnl7Lu9ZTdEV/preview
ED,M009_fea_1_004,reenact,W014_neu_1_006,https://drive.google.com/file/d/11YJ7CWX0txUffd6thBQookLZWcp_V3Jo/preview
ED,M009_fea_1_004,reenact,M003_neu_1_001,https://drive.google.com/file/d/1PZ6xlcf5sOzo6xr3HsbpBk1eQD5NWnra/preview
ED,W011_hap_1_005,reenact,W014_neu_1_006,https://drive.google.com/file/d/1yG1NtQWV9YlHP6m47MpXEvWponxfIP_C/preview
ED,W011_hap_1_005,reenact,M009_neu_1_004,https://drive.google.com/file/d/1Xejdm_J7U7jUWsHAQFCYpAbH8bODkr4j/preview
ED,057-SEN-01,reenact,100-SEN-03,https://drive.google.com/file/d/1zGV2WXfkGHueDA0FnLOH0tUqTlZ62ceM/preview
ED,057-SEN-01,reenact,036-SEN-08,https://drive.google.com/file/d/1ZFFLcgRF3wxA8Ap7su6I2WoVV_k2zzZj/preview
ED,036-SEN-08,reenact,100-SEN-03,https://drive.google.com/file/d/1cj_fjbdsDO7bQd-302kV11Kma40iVkU6/preview
ED,036-SEN-08,reenact,037-SEN-03,https://drive.google.com/file/d/1tQzDagJ9KMb1kD-qhFlkQr4SLmE5eSNm/preview
ED,100-SEN-03,reenact,057-SEN-01,https://drive.google.com/file/d/1ADmmW8wV6vLikkMBQF0W1MXbHi0P95GO/preview
ED,100-SEN-03,reenact,037-SEN-03,https://drive.google.com/file/d/1ArwDr8M9KauA70aRCPELjVJcnENmwcyB/preview
ED,037-SEN-03,reenact,057-SEN-01,https://drive.google.com/file/d/1EbuqX7UWf64EpgqPjBJaE84rdwg2_yMD/preview
ED,037-SEN-03,reenact,036-SEN-08,https://drive.google.com/file/d/1cNLP5QUBLSHC3oNZfx9OCwkeTnkLjKnd/preview
EB,W011_hap_1_005,reenact,W014_neu_1_006,https://drive.google.com/file/d/14hNI3AhzGfo5L8uGGztSB4P___zixO7M/preview
EB,W011_hap_1_005,reenact,M009_neu_1_004,https://drive.google.com/file/d/1sM844xJTf_1k-Kj8AXSSxwg2qlRC9T7Z/preview
EB,M009_fea_1_004,reenact,M003_neu_1_001,https://drive.google.com/file/d/107OYp1OmYssIZC6XNrtpqS-wVfvXyXHG/preview
EB,M009_fea_1_004,reenact,W014_neu_1_006,https://drive.google.com/file/d/1EEOf1vir1EJZiqzaL4dd69i0Etut5F99/preview
EB,W014_con_1_006,reenact,M009_neu_1_004,https://drive.google.com/file/d/15Lw4Z23kfvEtxYdg2tE9zR55zPa2xiOn/preview
EB,W014_con_1_006,reenact,W011_neu_1_005,https://drive.google.com/file/d/1K2DHI4o4n54GemPcIraajRk3h8OwJ87g/preview
EB,M003_ang_1_001,reenact,M009_neu_1_004,https://drive.google.com/file/d/18XKFPiHgW3utPkAafy3DZOoawh9rRSjO/preview
EB,M003_ang_1_001,reenact,W014_neu_1_006,https://drive.google.com/file/d/1JVrB_RweHelU8eTy4jAUHjGeEUu5oaZe/preview
EC,057-SEN-01,reenact,100-SEN-03,https://drive.google.com/file/d/1zkE8uIpVcUditTZbfP6TtOQFsVC_S0rG/preview
EC,057-SEN-01,reenact,036-SEN-08,https://drive.google.com/file/d/11yRCUU9Sx1l_v1hdAI-k44r_j19FtCrW/preview
EC,036-SEN-08,reenact,037-SEN-03,https://drive.google.com/file/d/1MWq4m-sbnsoFrTjumBMLhYE3rW8i8wgC/preview
EC,036-SEN-08,reenact,100-SEN-03,https://drive.google.com/file/d/1S-1nhFzsQiNu57rRgOIACY9geP2gGfb0/preview
